"TOTAL DUTY"
"Duty Name","Total"
"BASE SECURITY DUTY","88"
"BASE TASKFORCE DUTY","22"
"NAZIRPARA TARKFORCE DUTY","40"
"IDAC MORNING","31"
"IDAC AFTERNOON","31"
"IDAC NIGHT","62"
"AIRFIELD DUTY","93"


"EFFECTIVE MANPOWER"
"Flight","Sgt","Cpl & Below","Total"
"Mech","5","6","11"
"Avi","4","3","7"
"GCS","5","6","11"
"Admin","0","1","1"
"Total","14","16","30"


"DUTY PER PERSON","BASE SECURITY DUTY","BASE TASKFORCE DUTY","NAZIRPARA TARKFORCE DUTY","IDAC MORNING","IDAC AFTERNOON","IDAC NIGHT","AIRFIELD DUTY"
"","Total BASE SECURITY DUTY ÷Total Cpl & Below","Total BASE TASKFORCE DUTY ÷Total Sgt & Below","Total NAZIRPARA TARKFORCE DUTY ÷Total Sgt & Below","Total IDAC MORNING ÷Total Sgt & Below","Total IDAC AFTERNOON ÷Total Sgt & Below","Total IDAC NIGHT ÷Total Sgt & Below","Total AIRFIELD DUTY ÷Total Sgt & Below"
"DUTY PER PERSON","5.50","0.73","1.33","1.03","1.03","2.07","3.10"


"DUTY PER FLIGHT","BASE SECURITY DUTY","BASE TASKFORCE DUTY","NAZIRPARA TARKFORCE DUTY","IDAC MORNING","IDAC AFTERNOON","IDAC NIGHT","AIRFIELD DUTY"
"","Per Person BASE SECURITY DUTY xTotal Cpl & Below of Flight","Per Person BASE TASKFORCE DUTY xTotal Sgt & Below of Flight","Per Person NAZIRPARA TARKFORCE DUTY xTotal Sgt & Below of Flight","Per Person IDAC MORNING xTotal Sgt & Below of Flight","Per Person IDAC AFTERNOON xTotal Sgt & Below of Flight","Per Person IDAC NIGHT xTotal Sgt & Below of Flight","Per Person AIRFIELD DUTY xTotal Sgt & Below of Flight"
"MECHANICS FLT","33","8","15","12","11","23","35"
"AVIONICS FLT","16","5","9","7","7","14","23"
"GCS FLT","33","8","15","11","12","23","35"
"ADMIN FLT","6","1","1","1","1","2","0"
"Total Duty","88","22","40","31","31","62","93"


"Date","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","Total"
"Mech","","1","1","1","1","","1","","1","","1","1","1","1","","1","","1","1","1","","1","1","1","1","","","1","1","1","1","1","23"
"AVI","","1","","","","1","","1","1","1","","","1","","1","1","1","","","1","1","","","","1","1","1","","","","","","14"
"GCS","","","1","1","1","1","1","","","1","1","1","","1","1","","1","1","","","1","1","1","1","","1","1","1","1","1","1","1","23"
"Admin","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","2"
"Daily","Total","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","62"
"","Req.","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","62"


"Date","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","Total"
"Mech","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","31"
"AVI","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","31"
"GCS","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","31"
"Admin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Daily","Total","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","93"
"","Req.","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","93"
